legacy_column_name,source_variables,producer_routine_function,transformation,entity_level,unit_reference_period,first_observed_vintage,last_observed_vintage,current_name_in_income_modeling_eph,migration_status,evidence_path,unresolved_semantic_questions
CODUSU,CODUSU,annual producer,selected unchanged,household/person join key,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",CODUSU,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Current counterpart must be verified; legacy lacks person sequence key.
ANO4,ANO4,annual producer,selected unchanged,household/person join key,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",ANO4,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Current counterpart must be verified; legacy lacks person sequence key.
TRIMESTRE,TRIMESTRE,annual producer,selected unchanged,household/person join key,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",TRIMESTRE,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Current counterpart must be verified; legacy lacks person sequence key.
AGLOMERADO,AGLOMERADO,annual producer,selected unchanged,household/person join key,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",AGLOMERADO,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Current counterpart must be verified; legacy lacks person sequence key.
V01,IV1,annual producer,rename IV1 to V01; exclude source code 9,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",V01,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H05,IV3,annual producer,rename IV3 to H05,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H05,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H06,IV4,annual producer,rename IV4 to H06,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H06,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H07,IV5,annual producer,rename IV5 to H07,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H07,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H08,IV6,annual producer,rename IV6 to H08,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H08,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H09,IV7,annual producer,rename IV7 to H09,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H09,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H10,IV8,annual producer,rename IV8 to H10,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H10,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H11,IV10,annual producer,rename IV10 to H11; map source 3 to 2,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H11,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H12,IV11,annual producer,rename IV11 to H12,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H12,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H16,II1,annual producer,rename II1 to H16,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H16,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H15,II2,annual producer,rename II2 to H15,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H15,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PROP,II7,annual producer,rename II7 to PROP; map source 7/8/9 to 6,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PROP,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H14,II8,annual producer,rename II8 to H14,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H14,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
H13,II9,annual producer,rename II9 to H13; map source 3 to 2,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",H13,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
IX_TOT,IX_TOT,annual producer,selected unchanged; clip maximum to 8,household copied to person row,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",IX_TOT,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
CAT_INAC,CAT_INAC,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",CAT_INAC,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
CAT_OCUP,CAT_OCUP,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",CAT_OCUP,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P02,CH04,annual producer,rename CH04 to P02,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",P02,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P03,CH06,annual producer,rename CH06 to P03; clip minimum to 0,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",P03,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
CH07,CH07,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",CH07,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P07,CH09,annual producer,rename CH09 to P07; source 0/3 to 2,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",P07,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P08,CH10,annual producer,rename CH10 to P08,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",P08,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P09,CH12,annual producer,rename CH12 to P09; source 99 to 0,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",P09,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P10,CH13,annual producer,rename CH13 to P10; set 0 when source CH12 in 0/1/9,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",P10,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P05,CH15,annual producer,"rename CH15 to P05; source 1/2/3→1, 4/5→2, 9→0",person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",P05,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
CONDACT,ESTADO,annual producer,rename ESTADO; set 0 for CH06 < 14,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",CONDACT,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P21,P21,annual producer,selected unchanged; CPI normalize to Jan-2016 reference and round,person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",P21,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
P47T,P47T,annual producer,selected unchanged; CPI normalize to Jan-2016 reference and round,person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",P47T,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07G1,PP07G1,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07G1,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07G2,PP07G2,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07G2,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07G3,PP07G3,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07G3,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07G4,PP07G4,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07G4,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07G_59,PP07G_59,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07G_59,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07H,PP07H,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07H,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07I,PP07I,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07I,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07J,PP07J,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07J,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP07K,PP07K,annual producer,selected unchanged,person,EPH code/value; annual vintage,2022,"2025 (tracked, partial)",PP07K,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
PP08D1,PP08D1,annual producer,selected unchanged; CPI normalize to Jan-2016 reference and round,person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",PP08D1,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
TOT_P12,TOT_P12,annual producer,selected unchanged; CPI normalize to Jan-2016 reference and round,person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",TOT_P12,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
